id	filename	md5	size	state
f0655337-f3d3-4b92-a595-5f1806da37f2	TCGA-A6-4107-11A-01-TS1.8425e9ee-5910-48cd-aeb4-430e0401ce73.svs	802c7da50f32237fdf5c0c099de71b45	231696199	released
a06dd6d5-538b-45bb-a552-475ff76dcabe	TCGA-AA-3521-11A-01-TS1.1d81fadb-e500-461b-ac67-17415647b9b8.svs	630dae37aa78ee78f30ffd46ffecc73d	52254495	released
14e0780b-4341-43f6-b8f5-a8976fb9fe8b	TCGA-AA-3663-11A-01-TS1.983b7ec9-1eeb-4732-a6ad-fa7953a89bf2.svs	9a0948fcc6a2c0bf037dda8336942470	42624293	released
e40b641e-078a-4cee-bc61-d5b454a8e430	TCGA-A6-3808-11A-01-BS1.2874c8d9-010e-4205-a198-23363209be1f.svs	d7d782676a3b022be1c056ac7251d860	149002495	released
dd9df144-69fa-4892-9b38-a23349e782e7	TCGA-DX-AB35-11A-01-TSA.D249C7C7-8067-46D7-8149-D7B8FC78F6BB.svs	6db08f90253edc9602169ddad5ceb3c1	88605319	released
48f38318-cbed-444f-ad9b-dc13a8436cda	TCGA-AZ-6599-11A-01-TS1.1661031b-85e0-4050-bfdc-34aa334ec820.svs	3f49fd1319124038c73edf950a74c375	169228505	released
f2001db4-a74e-4a69-84b2-f72eb8d05328	TCGA-A6-2678-11A-01-TS1.5a5a17ec-30d4-404a-a0a7-d8a9eeadc127.svs	609c0fe9784ed377862a10e2633fe2f9	68786543	released
cf31e1bd-f0f2-440e-a0b3-c25365bbcc28	TCGA-A6-3809-11A-01-BS1.6c172e19-22b2-445b-afa8-a6aa8ba01421.svs	fd53b68cceb99d695df8ba7976955770	118342869	released
e6b72ad6-89d3-4005-84f9-891f2e7a3d5e	TCGA-AA-3495-11A-01-TS1.891b0dfc-b3d5-4da5-bbfe-0951ac25fde7.svs	8e4a3383910cbc96bc6ed77de71ed722	140195909	released
b4439d20-5bfa-45a0-9c20-d8e9ffdcbbd5	TCGA-G4-6302-11A-01-TS1.31b29709-1cb9-4166-9e43-8cf6fa6909b2.svs	e03cd467dbde855769322e3d02cda5b9	186569171	released
b8a057cd-e1eb-4470-b343-6114e70c60c8	TCGA-AA-3524-11A-01-TS1.72f43398-3528-4407-b119-92caf2e9e8b5.svs	8d6200c9aef6dadb8b091b1cec200342	45194393	released
96feb4e5-257d-45b4-8940-8d8994b4ea7c	TCGA-G4-6298-11A-01-TS1.5329dea8-06da-4ca7-9eff-bdcb7e082e44.svs	72cae68b1a670b0ee355b1aa6f01f2e4	132782189	released
863f36c2-b08b-4130-ab23-0777e310001d	TCGA-AA-3511-11A-01-TS1.d4579cf2-9291-4a98-ac6a-21507b5cc161.svs	d426ed28e8d5294f73481ca88c95c0eb	34024589	released
98f99019-add5-458e-8adf-5912d72d65fb	TCGA-AA-3532-11A-01-TS1.6fa6babf-9410-4ee3-952e-6747f5beb2da.svs	23bafd0992e024b5e4f14401781b1e53	39475563	released
afb6e838-f344-4bcb-aa35-c09fa62c504b	TCGA-A6-2682-11A-01-TS1.1d712478-2b28-4241-bcec-f337d8112446.svs	dfb13ee8611181a3b9a7318c26d6e90d	118021853	released
1bc23504-33c2-466e-af9e-fb001690fdb7	TCGA-AA-A01T-11A-01-TS1.9c3b7ea7-400b-4b2d-9bd5-6f045abc4077.svs	b02d8054218bab96b05cf3c3a3804d5e	42407119	released
3a2903e3-c400-4321-8b10-51cf835453af	TCGA-A6-3809-11A-01-TS1.ca0ed29f-23cc-476a-b69c-52b4077da741.svs	23920ca7d418a0321105c4df178c7ba3	280682499	released
3396d16e-e309-4372-af08-00efa9171526	TCGA-AA-A01P-11A-01-BS1.b633984f-2eec-47a3-a305-3b5a796d74b4.svs	f8142d8618b0d90b8aeef14c2678e45a	39626900	released
b4154ce5-e9f0-4537-be5f-e4632f337d7f	TCGA-AA-A01X-11A-01-TS1.63d182b1-6780-4e7e-9fb9-101f4a834cc3.svs	8d4a0d4aa0d83a729aeec8d6e37bf0c4	48905719	released
2bdd387c-a2e8-4b90-b814-0be3d7f75449	TCGA-AZ-6603-11A-01-TS1.b2342be2-b606-41fc-b226-411a09b36db1.svs	7ba1160c88ea03f458c92e34c67e6012	181546079	released
a6c8fd1e-1500-4f04-946c-2d45556da1a3	TCGA-AZ-6598-11A-01-TS1.e8657fd7-2bfc-42cd-95c3-b63a7d68dfe1.svs	f5a0d140603c5ffed4c7fbbe1c3c9fcd	446733521	released
205e058c-885c-456d-9152-6e290737e5da	TCGA-A6-5667-11A-01-TS1.7e4e62eb-69ab-4198-9a39-e159190fbe71.svs	fed1bbb704e257d7aa077b47f5ce1e43	132661495	released
b298a2a0-d0bd-40bc-be87-8fd1405b5718	TCGA-A6-2684-11A-01-TS1.373c2bcf-43e7-4862-ad25-27319410fa23.svs	20eb25afae3785e1acb2b600abe75ab9	100039225	released
bee1fe50-6444-42df-a55e-2e7b49fd4184	TCGA-A6-2674-11A-01-TS1.9fdaacfa-6ff3-43b9-81d3-3277f6686fb2.svs	9f1efe1602480004ed736f93d6ceb9c7	53177145	released
40dc5142-5081-4736-9023-7cc23ce55460	TCGA-G4-6625-11A-01-TS1.b6cd49d5-398c-450c-aa9e-21f0425c66f5.svs	48c66cd8eaa651b6cd3d25646dec68fa	41746941	released
97fcb778-d396-4db2-bb5b-be80fe4a652b	TCGA-AA-3534-11A-01-TS1.ddc817cf-139a-45ae-bac1-7935c9400583.svs	25506070f7ca073acc22009c1c605c33	59049053	released
c87c42ea-cc31-48a6-a30d-1a819f3e8ade	TCGA-AA-A01R-11A-01-TS1.469855f3-03d6-437d-8929-9ee95bca04a5.svs	bb1178e48d7de120d28cbb2d4a3f266c	67152654	released
c08a6bd4-f90c-40fa-9a03-44c8297902f0	TCGA-AZ-6600-11A-01-TS1.e0b52060-f51f-4bc9-8565-2093c12fa5f0.svs	b348b5d40885e964bb370f79c6efc50d	145504587	released
552301c0-f78e-44be-8a15-95a88f76e93a	TCGA-AA-A03F-11A-01-TS1.d3da6818-dc72-4caf-bb72-f008f7f00fff.svs	e7b84c89539202e8bea14d1e01b99a99	60966244	released
